Common Name,nid,scientific_name,category,scientific_family
Burdekin Plum,6859,Pleiogynium timorensis,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Bush Butter,,Dacryodes edulis,"fruit, California, California rare fruits, rare fruits",Burseraceae
Butternut,,Juglans cinerea,"fruit, California, California rare fruits, rare fruits",Juglandaceae
Button Mangosteen,6882,Garcinia prainiana,"fruit, California, California rare fruits, rare fruits",Guttiferae
Cabinet Cherry,,Prunus serotina,"fruit, California, California rare fruits, rare fruits",Rosaceae
Cacao,9398,Theobroma cacao,"fruit, California, California rare fruits, rare fruits",Sterculiaceae
Cactus,,Cereus peruvianus,"fruit, California, California rare fruits, rare fruits",Cactaceae
Cactus,,Cereus triangularis,"fruit, California, California rare fruits, rare fruits",Cactaceae
Caimito,6904,Chrysophyllum cainito,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Caimo,9313,Pouteria caimito,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Calamondin,6914,Citrofortunella mitis,"fruit, California, California rare fruits, rare fruits",Rutaceae
California Bay,,Ubellalaria californica,"fruit, California, California rare fruits, rare fruits",Lauraceae
California Wild Grape,6924,Vitis californica,"fruit, California, California rare fruits, rare fruits",Vitaceae
Calubura,,Muntingia calabura,"fruit, California, California rare fruits, rare fruits",Elaeocarpaceae
Camocamo,,Myrciaria dubia,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Camu Camu,1035,Myrciaria dubia,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Canadian Blackberry,,Rubus canadensis,"fruit, California, California rare fruits, rare fruits",Rosaceae
Canadian Elderberry,,Sambucus canadensis,"fruit, California, California rare fruits, rare fruits",Caprifoliaceae
Canary Island Date Palm,,Phoenix canariensis,"fruit, California, California rare fruits, rare fruits",Palmae
Candlenut,9409,Aleurites moluccana,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Canistel,9411,Pouteria campechiana,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Cannon-ball Tree,,Couroupita guianensis,"fruit, California, California rare fruits, rare fruits",Lecythidaceae
Cape Gooseberry,6993,Physalis peruviana,"fruit, California, California rare fruits, rare fruits",Solanaceae
Caper,,Capparis spinosa,"fruit, California, California rare fruits, rare fruits",Capparidaceae
Capulin Cherry,7001,Prunus salicifolia,"fruit, California, California rare fruits, rare fruits",Rosaceae
Carambola,1044,Averrhoa carambola,"fruit, California, California rare fruits, rare fruits",Oxalidaceae
Carob,,Ceratonia siliqua,"fruit, California, California rare fruits, rare fruits",Leguminosae
Carpathian Walnut,,"Juglans regia, carpathian strain","fruit, California, California rare fruits, rare fruits",Juglandaceae
Cas,,Psidium friedrichsthalianum,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Casana,,Cyphomandra casana,"fruit, California, California rare fruits, rare fruits",Solanaceae
Cascara,,Rhamnus purshiana,"fruit, California, California rare fruits, rare fruits",Rhamnaceae
Cashew,,Anacardium occidentale,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Cassabanana,7063,Sicana oderifera,"fruit, California, California rare fruits, rare fruits",Cucurbitaceae
Cat's Eye,,Euphoria malaiense,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Catalina Cherry,,Prunus lyonii,"fruit, California, California rare fruits, rare fruits",Rosaceae
Cattley Guava,7086,Psidium cattleianum,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Ceriman,,Monstera deliciosa,"fruit, California, California rare fruits, rare fruits",Araceae
Ceylon Date Palm,,Phoenix zeylanica,"fruit, California, California rare fruits, rare fruits",Palmae
Ceylon Gooseberry,7115,Dovyalis hebecarpa,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Champedek,,Artocarpus integer,"fruit, California, California rare fruits, rare fruits",Moraceae
Changshou Kumquat,,Fortunella obovata,"fruit, California, California rare fruits, rare fruits",Rutaceae
Charicuela,,Rheedia macrophylla,"fruit, California, California rare fruits, rare fruits",Guttiferae
Chaste Tree,9446,Vitex agnus-castus,"fruit, California, California rare fruits, rare fruits",Verbenaceae
Chayote,,Sechium edule,"fruit, California, California rare fruits, rare fruits",Cucurbitaceae
Che,7147,Cudrania tricuspidata,"fruit, California, California rare fruits, rare fruits",Moraceae
Chempedale,,Artocarpus integer,"fruit, California, California rare fruits, rare fruits",Moraceae
Cherapu,7163,Garcinia prainiana,"fruit, California, California rare fruits, rare fruits",Guttiferae
Cheremai,,Phyllanthus acidus,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Cherimoya,10287,Annona cherimola,"fruit, California, California rare fruits, rare fruits",Annonaceae
Cherry of the Rio Grande,,Eugenia aggregata,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Chess Apple,,Sorbus aria,"fruit, California, California rare fruits, rare fruits",Rosaceae
Chia Ye,,Ficus awkeotsang,"fruit, California, California rare fruits, rare fruits",Moracedea
Chicle Tree,,Manilkara zapota,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Chico Sapote,7202,Manilkara zapota,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Chico Mamey,,Bunchosia armeniaca,"fruit, California, California rare fruits, rare fruits",Malpighiaceae
Chilean Guava,7209,Ugni molinae,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Chilean Hazel,,Gevuina avellana,"fruit, California, California rare fruits, rare fruits",Proteaceae
Chilean Wine Palm,,Jubaea chilensis,"fruit, California, California rare fruits, rare fruits",Palmae
China Chestnut,,Sterculia monosperma,"fruit, California, California rare fruits, rare fruits",Sterculiaceae
Chincopin,,Castanea pumila var. ashei,"fruit, California, California rare fruits, rare fruits",Fagaceae
Chinese Asian Pear,,Pyrus usseriensis,"fruit, California, California rare fruits, rare fruits",Rosaceae
Chinese Chestnut,7224,Castanea mollissima,"fruit, California, California rare fruits, rare fruits",Fagaceae
Chinese Date,,Ziziphus jujuba,"fruit, California, California rare fruits, rare fruits",Rhamnaceae
Chinese Date Palm,,Zizyphus vulgaris,"fruit, California, California rare fruits, rare fruits",Rhamnaceae
Chinese Egg Gooseberry,,Actinidia rubricallus,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Chinese Gooseberry,,Actinidia deliciosa,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Chinese Hackberry,,Celtis sinensis,"fruit, California, California rare fruits, rare fruits",Ulmaceae
Chinese Jello,,Ficus awkeotsang,"fruit, California, California rare fruits, rare fruits",Moraceae
Chinese Mulberry,7234,Cudrania tricuspidata,"fruit, California, California rare fruits, rare fruits",Moraceae
Chinese Olive,,Canarium album,"fruit, California, California rare fruits, rare fruits",Burseraceae
