Common Name,nid,scientific_name,category,scientific_family
Mississippi Honeyberry,,Celtis laevigata,"fruit, California, California rare fruits, rare fruits",Ulmaceae
Missouri Currant,,Ribes aureum,"fruit, California, California rare fruits, rare fruits",Saxifragaceae
Missouri Currant,,Ribes odoratum,"fruit, California, California rare fruits, rare fruits",Saxifragaceae
Mocambo,3746,Theobroma bicolor,"fruit, California, California rare fruits, rare fruits",Sterculiaceae
Monkey Jack,,Artocarpus lakoocha,"fruit, California, California rare fruits, rare fruits",Moraceae
Monkey Nut,3770,Lecythis zabucajo,"fruit, California, California rare fruits, rare fruits",Lecythidaceae
Monkey Pot,3773,Lecythis elliptica,"fruit, California, California rare fruits, rare fruits",Lecythidaceae
Monkey Pot,3773,Lecythis ollaria,"fruit, California, California rare fruits, rare fruits",Lecythidaceae
Monkey Pot,3773,Lecythis pisonis,"fruit, California, California rare fruits, rare fruits",Lecythidaceae
Monkey Puzzle Tree,,Araucaria araucana,"fruit, California, California rare fruits, rare fruits",Araucariaceae
Monkey Tamarind,,Inga edulis,"fruit, California, California rare fruits, rare fruits",Leguminosae
Monos Plum,,Pseudanamomis umbellifera,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Monstera,3776,Monstera deliciosa,"fruit, California, California rare fruits, rare fruits",Araceae
Montesa Granadilla,,Passiflora platyloba,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Moosewood,,Acer pensylvanicum,"fruit, California, California rare fruits, rare fruits",Aceraceae
Moosewood,,Dirca palustris,"fruit, California, California rare fruits, rare fruits",Thymelaeaceae
Moosewood,,Viburnum edule,"fruit, California, California rare fruits, rare fruits",Caprifoliaceae
Mora de Castilla,,Rubus glaucus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Moreton Bay Chestnut,,Castanospermum australe,"fruit, California, California rare fruits, rare fruits",Leguminosae
Moringa,,Moringa olifera,"fruit, California, California rare fruits, rare fruits",Moringaceae
Mountain Apple,,Syzygium malaccense,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Mountain Papaya,3819,Carica pubescens,"fruit, California, California rare fruits, rare fruits",Caricaceae
Mountain soursop,,Annona montana,"fruit, California, California rare fruits, rare fruits",Annonaceae
Mowha,,Bassis latifolia,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Mulberry,479,Morus,"fruit, California, California rare fruits, rare fruits",Moraceae
Mundu,9803,Garcinia dulcis,"fruit, California, California rare fruits, rare fruits",Guttiferae
Musk Strawberry,,Fragaria moschata,"fruit, California, California rare fruits, rare fruits",Rosaceae
Myrobalan,,Terminalia bellirica or chebula,"fruit, California, California rare fruits, rare fruits",Combretaceae
Myrobalan,,Phyllanthus emblica,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Myrobalan Plum,,Prunus cerasifera,"fruit, California, California rare fruits, rare fruits",Rosaceae
Myrtle,9809,Myrtus communis,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Mysore Black Raspberry,,Rubus niveus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Nagami Kumquat,,Fortunella margarita,"fruit, California, California rare fruits, rare fruits",Rutaceae
Namnam,,Cynometra cauliflora,"fruit, California, California rare fruits, rare fruits",Leguminosae
Nance,9810,Byrsonima crassifolia,"fruit, California, California rare fruits, rare fruits",Malpighiaceae
Nanking Cherry,,Prunus tomentosa,"fruit, California, California rare fruits, rare fruits",Rosaceae
Naranjilla,9811,Solanum quitoense,"fruit, California, California rare fruits, rare fruits",Solanaceae
Natal Orange,,Strychnos spinosa,"fruit, California, California rare fruits, rare fruits",Rutaceae
Natal Plum,,Carissa macrocarpa,"fruit, California, California rare fruits, rare fruits",Apocynaceae
Natal Plum,,Ximenia caffra var. natalensis,"fruit, California, California rare fruits, rare fruits",Olacaceae
Nauclea,,Nauclea esculenta,"fruit, California, California rare fruits, rare fruits",Rubiaceae
Nectarine,493,Prunus persica nectarina,"fruit, California, California rare fruits, rare fruits",Rosaceae
Neem Tree,,Azadirachta indica,"fruit, California, California rare fruits, rare fruits",Meliaceae
Nervosa,,Pouteria campechiana,"fruit, California, California rare fruits, rare fruits",Sapotaceae
New Zealand Spinach,3948,Tetragonia tetragonioides,"fruit, California, California rare fruits, rare fruits",Aizoaceae
Night Blooming Cereus,,Cereus peruvianus,"fruit, California, California rare fruits, rare fruits",Cactaceae
Night-Blooming Cereus,,Hylocereus undatus,"fruit, California, California rare fruits, rare fruits",Cactaceae
Nipa Palm,,Nipa fruticans,"fruit, California, California rare fruits, rare fruits",Palmae
Nipple Fruit,,Solanum mammosum,"fruit, California, California rare fruits, rare fruits",Solanaceae
Nispero,,Manilkara zapota,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Nutmeg,9822,Myristica fragrans,"fruit, California, California rare fruits, rare fruits",Myristicaceae
Ogeechee Lime or Plum,,Nyssa ogeche,"fruit, California, California rare fruits, rare fruits",Nyssaceae
Okari Nut,,Terminalia kaernbachii,"fruit, California, California rare fruits, rare fruits",Combretaceae
Okari Nut,,Terminalia okari,"fruit, California, California rare fruits, rare fruits",Combretaceae
Okra,9830,Abelmoschus esculentus,"fruit, California, California rare fruits, rare fruits",Malvaceae
Olallie Berry,,Rubus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Olosapo,4073,Couepia polyandra,"fruit, California, California rare fruits, rare fruits",Chrysobalanaceae
Orange,,Citrus sinensis,"fruit, California, California rare fruits, rare fruits",Rutaceae
Orangeberry,,Glycosmis pentaphylla,"fruit, California, California rare fruits, rare fruits",Rutaceae
Oregon Crab Apple,,Malus fusca,"fruit, California, California rare fruits, rare fruits",Rosaceae
Oregon Grape,4099,Mahonia aquafolium,"fruit, California, California rare fruits, rare fruits",Berberidaceae
Oregon Grape,4099,Mahonia nervosa,"fruit, California, California rare fruits, rare fruits",Berberidaceae
Organpipe Cactus,,Lemaireocereus thurberi,"fruit, California, California rare fruits, rare fruits",Cactaceae
Oriental Cashew,,Semecarpus anacardium,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Oriental Cherry,,Prunus serrulata,"fruit, California, California rare fruits, rare fruits",Rosaceae
Oriental Persimmon,,Diospyros kaki,"fruit, California, California rare fruits, rare fruits",Ebenaceae
Oswego Tea,1799,Monarda didyma,"fruit, California, California rare fruits, rare fruits",Labiateae
Otaheite Apple,4123,Spondias dulcis,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Otaheite Chestnut,,Inocarpus edulis,"fruit, California, California rare fruits, rare fruits",Leguminosae
Otaheite Gooseberry,4124,Phyllanthus acidus,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Otaheite Orange,,Citrus X limonia,"fruit, California, California rare fruits, rare fruits",Rutaceae
Otaheite Rangpur,,Citrus X limonia,"fruit, California, California rare fruits, rare fruits",Rutaceae
Otaite Orange,,Citrus X limonia,"fruit, California, California rare fruits, rare fruits",Rutaceae
Oval Kumquat,,Fortunella margarita,"fruit, California, California rare fruits, rare fruits",Rutaceae
Oyster Nut,,Telfairia pedata,"fruit, California, California rare fruits, rare fruits",Cucurbitaceae
Oyster Plant,,Tragopogon porrifolius,"fruit, California, California rare fruits, rare fruits",Compositae
Pacay,,Inga feuillei,"fruit, California, California rare fruits, rare fruits",Leguminosae
Paco,,Gustavia superba,"fruit, California, California rare fruits, rare fruits",Lecythidaceae
Pacura,,Rheedia brasiliensis,"fruit, California, California rare fruits, rare fruits",Guttiferae
Palestine Sweet Lime,,Citrus limettoidies,"fruit, California, California rare fruits, rare fruits",Rutaceae
Palm Fig,,Ficus pseudapalma,"fruit, California, California rare fruits, rare fruits",Moraceae
Palmyra Palm,,Borassus flabellifer,"fruit, California, California rare fruits, rare fruits",Palmae
Pama,,Garcinia livingstonei,"fruit, California, California rare fruits, rare fruits",Guttiferae
Panama Berry,,Muntingia calabura,"fruit, California, California rare fruits, rare fruits",Elaeocarpaceae
Panama Nut,,Sterculia apetala,"fruit, California, California rare fruits, rare fruits",Sterculiaceae
Pandang,,Pandanus odoratissimus,"fruit, California, California rare fruits, rare fruits",Pandanaceae
Pandanus,9852,Pandanus odoratissimus,"fruit, California, California rare fruits, rare fruits",Pandanaceae
Paniala,,Flacourtia cataphracta,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Papache,,Randia echinocarpa,"fruit, California, California rare fruits, rare fruits",Rubiaceae
Papaya,,Carica papaya,"fruit, California, California rare fruits, rare fruits",Caricaceae
Para Guava,4196,Britoa acida,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Paradise Nut,4198,Lecythis zabucajo,"fruit, California, California rare fruits, rare fruits",Lecythidaceae
Paraguay Tea,,Ilex paraguaiensis,"fruit, California, California rare fruits, rare fruits",Aquifoliaceae
Paterno,,Inga paterno,"fruit, California, California rare fruits, rare fruits",Leguminosae
Paw Paw See note.,,Asimina triloba,"fruit, California, California rare fruits, rare fruits",Annonaceae
Paw Paw See note.,,Carica papaya,"fruit, California, California rare fruits, rare fruits",Caricaceae
Peach,529,Prunus persica,"fruit, California, California rare fruits, rare fruits",Rosaceae
Peach Palm,4247,Bactris gasipaes,"fruit, California, California rare fruits, rare fruits",Palmae
Peach Tomato,,Solanum topiro,"fruit, California, California rare fruits, rare fruits",Solanaceae
Peanut,,Arachis hypogaea,"fruit, California, California rare fruits, rare fruits",Leguminosae
Peanut Butter Fruit,9867,Bunchosia argentea,"fruit, California, California rare fruits, rare fruits",Malpighiaceae
Pear,532,Pyrus communis,"fruit, California, California rare fruits, rare fruits",Rosaceae
Pecan,,Carya illinoinensis,"fruit, California, California rare fruits, rare fruits",Juglandaceae
Pedalai,4265,Artocarpus sericicarpus,"fruit, California, California rare fruits, rare fruits",Moraceae
Pejibaye,,Bactris gasipaes,"fruit, California, California rare fruits, rare fruits",Palmae
Pepino,4282,Solanum muricatum,"fruit, California, California rare fruits, rare fruits",Solanaceae
Pepino Dulce,,Solanum muricatum,"fruit, California, California rare fruits, rare fruits",Solanaceae
Pero do Campo,,Eugenia klotzschiana,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Persian Lime,9881,Citrus latifolia,"fruit, California, California rare fruits, rare fruits",Rutaceae
Persian Mulberry,,Morus nigra,"fruit, California, California rare fruits, rare fruits",Moraceae
Persian Walnut,,Juglans regia,"fruit, California, California rare fruits, rare fruits",Juglandaceae
Persimmon,535,Diospyros,"fruit, California, California rare fruits, rare fruits",Ebenaceae
Phalsa Cherry,,Grewia tenax,"fruit, California, California rare fruits, rare fruits",Tiliaceae
Philippine Tea,,Ehretia microphylla,"fruit, California, California rare fruits, rare fruits",Boraginaceae
Phillippine Fig,,Ficus pseudapalma,"fruit, California, California rare fruits, rare fruits",Moraceae
Phillippine Palm,,Ficus pseudapalma,"fruit, California, California rare fruits, rare fruits",Moraceae
Pickle Fruit,,Averrhoa bilimbi,"fruit, California, California rare fruits, rare fruits",Oxalidaceae
Pili Nut,9892,Canarium ovatum,"fruit, California, California rare fruits, rare fruits",Burseraceae
Pili Nut,9892,Canarium vulgare,"fruit, California, California rare fruits, rare fruits",Burseraceae
Pimenta,,Pimenta dioica,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Pimento,,Capsicum annuum,"fruit, California, California rare fruits, rare fruits",Solanacease
Pin Cushion Tree,,Nauclea latifolius,"fruit, California, California rare fruits, rare fruits",Rubiaceae
Pindo Palm,,Butia capitata,"fruit, California, California rare fruits, rare fruits",Palmae
Pineapple,543,Ananas comosus,"fruit, California, California rare fruits, rare fruits",Bromeliaceae
Pineapple Guava,,Feijoa sellowiana,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Pink Banana,,Musa velutina,"fruit, California, California rare fruits, rare fruits",Musaceae
Pinguin,,Bromelia Pinguin,"fruit, California, California rare fruits, rare fruits",Bromeliaceae
Pinyon Pine,,Pinus edulis,"fruit, California, California rare fruits, rare fruits",Pinaceae
Pistachio,549,Pistacia vera,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Pitahaya,,Hylocereus undatus or polyrhizus,"fruit, California, California rare fruits, rare fruits",Cactaceae
Pitanga,4418,Eugenia uniflora,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Pitaya,9899,Cereus peruvianus,"fruit, California, California rare fruits, rare fruits",Cactaceae
Pitaya,9899,Hylocereus undatus,"fruit, California, California rare fruits, rare fruits",Cactaceae
Pitomba,4422,Eugenia luschnathiana,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Plantain,9902,Musa accuminata balbisiana,"fruit, California, California rare fruits, rare fruits",Musaceae
Plum,,Prunus domestica,"fruit, California, California rare fruits, rare fruits",Rosaceae
Plum Mango,,Bouea oppositifolia,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Poha,4438,Physalis peruviana,"fruit, California, California rare fruits, rare fruits",Solanaceae
Pollia,,Pollia sorzogonensis,"fruit, California, California rare fruits, rare fruits",Commelinaceae
Polynesian Chestnut,4453,Indocarpus edulis,"fruit, California, California rare fruits, rare fruits",Leguminosae
Pomegranate,,Punica granatum,"fruit, California, California rare fruits, rare fruits",Punicaceae
Pond apple,,Annona glabra,"fruit, California, California rare fruits, rare fruits",Annonaceae
Poshte,,Annona scleroderma,"fruit, California, California rare fruits, rare fruits",Annonaceae
Potato Tree,,Solanum macranthum,"fruit, California, California rare fruits, rare fruits",Solanaceae
Prairie Potato,,Psoralea esculenta,"fruit, California, California rare fruits, rare fruits",Leguminosae
Puerto Rican Guava,,Psidium microphyllum,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Pulasan,9936,Nephelium mutabile,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Pummelo,4562,Citrus maxima,"fruit, California, California rare fruits, rare fruits",Rutaceae
Purple Calabash Tomato,1916,Lycopersicon esculentum,"fruit, California, California rare fruits, rare fruits",Solanaceae
Purple Granadilla,,Passiflora edulis,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Purple Ground Cherry,,Physalis lobata,"fruit, California, California rare fruits, rare fruits",Solanaceae
Purple Mombin,4580,Spondias purpurea,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Purple Passion Fruit,4581,Passiflora edulis,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Purpurea,,Actinidia arguta var. purpurea,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Quandong,9939,Elaeocarpus grandis,"fruit, California, California rare fruits, rare fruits",Elaeocarpaceae
Quandong,9939,Santalum acuminatum,"fruit, California, California rare fruits, rare fruits",Santalaceae
Queen Sago,,Cycas circinalis,"fruit, California, California rare fruits, rare fruits",Cycadaceae
Queensland Nut,4614,Macadamia,"fruit, California, California rare fruits, rare fruits",Proteaceae
Quince,568,Cydonia oblonga,"fruit, California, California rare fruits, rare fruits",Rosaceae
Quinine,,Cinchona species,"fruit, California, California rare fruits, rare fruits",Rubiaceae
Rabbiteye Blueberry,,Vaccinium ashei,"fruit, California, California rare fruits, rare fruits",Ericaceae
Raisin Tree,,Hovenia dulcis,"fruit, California, California rare fruits, rare fruits",Rhamnaceae
Rambai,4638,Baccaurea dulcis,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Rambai,4638,Baccaurea motleyana,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Rambai Utan,,Baccaurea griffithii,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Rambeh,,Baccaurea dulcis,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Rambutan,9945,Nephelium lappaceum,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Ramontchi,,Flacourtia ramontchi,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Rangpur Lime,,Citrus X limonia,"fruit, California, California rare fruits, rare fruits",Rutaceae
Raspberry,9949,Rubus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Raspberry Jam Fruit,,Randia formosa,"fruit, California, California rare fruits, rare fruits",Rubiaceae
Rata,,Garcinia dulcis,"fruit, California, California rare fruits, rare fruits",Guttiferae
Rata,,Garcinia xanthochymus,"fruit, California, California rare fruits, rare fruits",Guttiferae
Red Bay,,Persea borbonia,"fruit, California, California rare fruits, rare fruits",Lauraceae
Red Currant,4695,Ribes rubrum and sativum,"fruit, California, California rare fruits, rare fruits",Saxifragaceae
Red Guava,,Eugenia nutans,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Red Huckleberry,,Vaccinium parvifolium,"fruit, California, California rare fruits, rare fruits",Ericaceae
Red Ironwood,,Reynosia septentrionalis,"fruit, California, California rare fruits, rare fruits",Rhamnaceae
Red Mombin,4722,Spondias purpurea,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Red Mulberry,9952,Morus rubra,"fruit, California, California rare fruits, rare fruits",Moraceae
Red Princess,,Actinidia arguta X melanandra,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Red Strawberry Guava,,Psidium cattleianum longpipes,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Rinon,,Rollinia deliciosa,"fruit, California, California rare fruits, rare fruits",Annonaceae
River Plum,,Prunus americana,"fruit, California, California rare fruits, rare fruits",Rosaceae
Riverflat,,Crataegus aestivalis,"fruit, California, California rare fruits, rare fruits",Rosaceae
Robusta Coffee,4843,Coffea canephora,"fruit, California, California rare fruits, rare fruits",Rubiaceae
Rose Apple,4876,Syzygium jambos,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Roselle,4886,Hibiscus sabdariffa,"fruit, California, California rare fruits, rare fruits",Malvaceae
Rough Lemon,,Citrus jambhiri,"fruit, California, California rare fruits, rare fruits",Rutaceae
Rough Shell Macadamia,,Macadamia tetraphylla,"fruit, California, California rare fruits, rare fruits",Proteaceae
Round Kumquat,,Fortunella japonica,"fruit, California, California rare fruits, rare fruits",Rutaceae
Roundleaf Serviceberry,,Amelanchier sanguinea,"fruit, California, California rare fruits, rare fruits",Rosaceae
Rowan,9976,Sorbus aucuparia,"fruit, California, California rare fruits, rare fruits",Rosaceae
Rowanberry,,Sorbus aucuparia,"fruit, California, California rare fruits, rare fruits",Rosaceae
Ruffled Tomato,,Solanum integrifolium,"fruit, California, California rare fruits, rare fruits",Solanaceae
Rukam,,Flacourtia rukam,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Rum Berry,,Myrciaria floribunda,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Rum Cherry,,Prunus serotina,"fruit, California, California rare fruits, rare fruits",Rosaceae
Runealma Plum,,Flacourtia cataphracta,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Russian Mulberry,,Morus alba,"fruit, California, California rare fruits, rare fruits",Moraceae
Russian Olive,,Elaeagnus angustifolia,"fruit, California, California rare fruits, rare fruits",Elaeagnaceae
Sachamango,,Gustavia superba,"fruit, California, California rare fruits, rare fruits",Lecythidaceae
Saigon Cinnamon,9987,Cinnamomum loureirii,"fruit, California, California rare fruits, rare fruits",Laureaceae
Salak Palm,,Salacca edulis,"fruit, California, California rare fruits, rare fruits",Palmae
Salak Palm,,Salacca zalacca,"fruit, California, California rare fruits, rare fruits",Palmae
Salal,,Gaultheria shallon,"fruit, California, California rare fruits, rare fruits",Ericaceae
Salamander Tree,,Antidesma bunius,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Salsify,5004,Tragopogon porrifolius,"fruit, California, California rare fruits, rare fruits",Compositae
San Domingo Apricot,,Mammea americana,"fruit, California, California rare fruits, rare fruits",Guttiferae
Sand Cherry,,Prunus besseyi,"fruit, California, California rare fruits, rare fruits",Rosaceae
Sand Cherry,,Prunus pumila,"fruit, California, California rare fruits, rare fruits",Rosaceae
Sand Strawberry,,Fragaria chiloensis,"fruit, California, California rare fruits, rare fruits",Rosaceae
Sansapote,,Licania platypus,"fruit, California, California rare fruits, rare fruits",Chrysobalanaceae
Sansho,5034,Zanthoxylium piperitum,"fruit, California, California rare fruits, rare fruits",Rutaceae
Santol,5037,Sandoricum koetjape,"fruit, California, California rare fruits, rare fruits",Meliaceae
Sapodilla,9998,Manilkara zapota,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Sapota,,Pouteria sapota,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Sapote,,Pouteria sapota,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Sapucaia,,Lecythis zabucajo,"fruit, California, California rare fruits, rare fruits",Lecyathidaceae
Sarvisberry,,Amelanchier,"fruit, California, California rare fruits, rare fruits",Rosaceae
Satin-Leaf,,Chrysophyllum oliviforme,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Screw Pine,,Pandanus odoratissimus,"fruit, California, California rare fruits, rare fruits",Pandanaceae
Sea Buckthorn,,Hippophae rhamnoides,"fruit, California, California rare fruits, rare fruits",Eleagnaceae
Sea Grape,5107,Coccoloba uvifera,"fruit, California, California rare fruits, rare fruits",Polygonaceae
Seaside Plum,,Ximenia americana,"fruit, California, California rare fruits, rare fruits",Olacaceae
Seed Palm,,Borassus flabellifer,"fruit, California, California rare fruits, rare fruits",Palmae
Senegal Date Palm,,Phoenix reclinata,"fruit, California, California rare fruits, rare fruits",Palmae
Sepiaia,,Flacourtia sepiaia,"fruit, California, California rare fruits, rare fruits",Flacourtiaceae
Service Tree,,Sorbus domestica,"fruit, California, California rare fruits, rare fruits",Rosaceae
Serviceberry,10017,Amelanchier canadensis,"fruit, California, California rare fruits, rare fruits",Rosaceae
Sesban,,Sesbania grandiflora,"fruit, California, California rare fruits, rare fruits",Leguminosae
Sesnania,,Sesbania grandiflora,"fruit, California, California rare fruits, rare fruits",Leguminosae
Seville Orange,,Citrus aurantium,"fruit, California, California rare fruits, rare fruits",Rutaceae
Shadblow,,Amelanchier,"fruit, California, California rare fruits, rare fruits",Rosaceae
Shadbush,,Amelanchier,"fruit, California, California rare fruits, rare fruits",Rosaceae
Shaddock,,Citrus maxima,"fruit, California, California rare fruits, rare fruits",Rutaceae
Shagbark Hickory,5160,Carya ovata,"fruit, California, California rare fruits, rare fruits",Juglandaceae
Sheepberry,10022,Viburnum prunifolium,"fruit, California, California rare fruits, rare fruits",Caprifoliaceae
Shellbark Hickory,,Carya laciniosa,"fruit, California, California rare fruits, rare fruits",Juglandaceae
Shinnini,,Persea scheideana,"fruit, California, California rare fruits, rare fruits",Lauraceae
Shinyleaf Yellowhorn,,Xanthoceras sorbifolium,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Siberian Crab Apple,,Malus baccata,"fruit, California, California rare fruits, rare fruits",Rosaceae
Siberian Goosberry,,Actinidia arguta,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Sierra Juniper,,Juniperus occidentalis,"fruit, California, California rare fruits, rare fruits",Cupressacae
Sierra Plum,,Prunus subcordata,"fruit, California, California rare fruits, rare fruits",Rosaceae
Silky Dogwood,,Cornus amomum,"fruit, California, California rare fruits, rare fruits",Cornaceae
Silver vine,,Actinidia polygama,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Silverberry,,Elaeagnus cummutata,"fruit, California, California rare fruits, rare fruits",Elaeagnaceae
Silverthorn,,Elaeagnus pungens,"fruit, California, California rare fruits, rare fruits",Elaeagnaceae
Singhara Nut,,Trapa bispinosa,"fruit, California, California rare fruits, rare fruits",Trapaceae
Sloe Plum,,Prunus umbellata or americana,"fruit, California, California rare fruits, rare fruits",Rosaceae
Sloe Plum,,Prunus alleghaniensis or spinosa,"fruit, California, California rare fruits, rare fruits",Rosaceae
Smooth Shell Macademia,,Macadamia integrifolia,"fruit, California, California rare fruits, rare fruits",Protaceae
Smooth-skin kiwifruit,,Actinidia chrysantha,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Smooth-skinned kiwifruit,,Actinidia chinensis planch,"fruit, California, California rare fruits, rare fruits",Actinidiaceae
Smyrna Quince,,Pyrus cydonia,"fruit, California, California rare fruits, rare fruits",Rosaceae
Soapberry Tree,,Balanites aegyptiaca,"fruit, California, California rare fruits, rare fruits",Balanitaceae
Soncoya,5319,Annona purpurea,"fruit, California, California rare fruits, rare fruits",Annonaceae
Sorb,,Sorbus domestica,"fruit, California, California rare fruits, rare fruits",Rosaceae
Souari Nut,5329,Caryocar nuciferum,"fruit, California, California rare fruits, rare fruits",Caryocaraceae
Sour Cherry,5331,Prunus cerasus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Sour Orange,647,Citrus aurantium,"fruit, California, California rare fruits, rare fruits",Rutaceae
Sour Plum,,Ximenia caffra,"fruit, California, California rare fruits, rare fruits",Olacaceae
Sourberry,,Rhus integrifolia,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Soursop,10046,Annona muricata,"fruit, California, California rare fruits, rare fruits",Annonaceae
Sourtop,,Vaccinium myrtilloides,"fruit, California, California rare fruits, rare fruits",Ericaceae
South African Cherry,,Papea capensis,"fruit, California, California rare fruits, rare fruits",Sapindaceae
South American Sapote,,Quararibea cordata,"fruit, California, California rare fruits, rare fruits",Bombacaceae
Spanish Cherry,,Mimusops elengi,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Spanish Lime,5359,Melicoccus bijugatus,"fruit, California, California rare fruits, rare fruits",Sapindaceae
Spanish Plum,,Spondias purpurea,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Spanish Tamarind,,Vangueria edulis,"fruit, California, California rare fruits, rare fruits",Rubiaceae
Sparkleberry,,Vaccinium arboreum,"fruit, California, California rare fruits, rare fruits",Ericaceae
St. John's Bread,,Ceratonia siliqua,"fruit, California, California rare fruits, rare fruits",Leguminosae
Star Apple,5427,Chrysophyllum cainito,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Star Fruit,5428,Averrhoa carambola,"fruit, California, California rare fruits, rare fruits",Oxalidaceae
Stemberry,,Chrysophyllum magalesmontanum,"fruit, California, California rare fruits, rare fruits",Sapotaceae
Strawberry Guava,10067,Psidium cattleianum,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Strawberry Pear,5476,Cereus triangularis,"fruit, California, California rare fruits, rare fruits",Cactaceae
Strawberry Pear,5476,Hylocereus undatus,"fruit, California, California rare fruits, rare fruits",Cactaceae
Strawberry Raspberry,,Rubus illecebrosus,"fruit, California, California rare fruits, rare fruits",Rosaceae
Strawberry Tree,10068,Arbutus unedo,"fruit, California, California rare fruits, rare fruits",Ericaceae
Striped Screw Pine,,Pandanus veitchii,"fruit, California, California rare fruits, rare fruits",Pandanaceae
Sugar Apple,5494,Annona squamosa,"fruit, California, California rare fruits, rare fruits",Annonaceae
Sugar Bush,,Rhus ovata,"fruit, California, California rare fruits, rare fruits",Anacardiaceae
Sugarberry,,Celtis laevigata or occidentalis,"fruit, California, California rare fruits, rare fruits",Ulmaceae
Sugar Maple,,Acer saccharum,"fruit, California, California rare fruits, rare fruits",Aceraceae
Sugar Palm,,Arenga pinnata,"fruit, California, California rare fruits, rare fruits",Palmai
Sun Sapote,,Couepia polyandra,"fruit, California, California rare fruits, rare fruits",Chrysobalanaceae
Sunberry,5527,Solanum burbankii,"fruit, California, California rare fruits, rare fruits",Solanaceae
Sunchoke,,Helianthus tuberosus,"fruit, California, California rare fruits, rare fruits",Compositae
Sunsapote,5546,Licania platypus,"fruit, California, California rare fruits, rare fruits",Chrysobalanaceae
Surinam Cherry,10080,Eugenia uniflora,"fruit, California, California rare fruits, rare fruits",Myrtaceae
Sweet Bay,,Laurris noblis,"fruit, California, California rare fruits, rare fruits",Lauraceae
Sweet Calabash,5576,Passiflora maliformis,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Sweet Calabash,5576,Passiflora mollissima,"fruit, California, California rare fruits, rare fruits",Passifloraceae
Sweet Cassava,,Manihot dulcis,"fruit, California, California rare fruits, rare fruits",Euphorbiaceae
Sweet Cherry,2208,Prunus avium,"fruit, California, California rare fruits, rare fruits",Rosaceae
Sweet Cup,,Passiflora maliformis,"fruit, California, California rare fruits, rare fruits",Passifloraceae
